ID,Species,capt_date,SL_mm,SL_size_class,sex,weight_g,height_mm,sample_type,area,Long,Lat,d15N,d13C,d34S,CN_ratio,comment1,comment2
BH-01740,E.lucius,2019-12-23,1030,,f,9300,,Muscle,WRB,,,15.98,-19.2733333333333,9.05666666666667,3.17338912235784,|,
BH-01746,E.lucius,,850,,f,6200,,Muscle,WRB,,,16.01,-18.085,10.125,3.07551016770928,"Drift Standard before didn't fall into reactor, so maybe measured together with sample | ",
BH-01746,E.lucius,,850,,f,6200,,Muscle,WRB,,,16.01,-18.085,10.125,3.07551016770928,|,
BH-01749,E.lucius,,500,,m,,,Muscle,NRB,,,16.5933333333333,-19.5133333333333,6.71666666666667,3.24286764826144,|,
BH-01752,E.lucius,2020-05-01,693,,m,2280,,Muscle,WRB,,,15.2433333333333,-17.1833333333333,9.77333333333333,3.06594169847129,|,
BH-01753,E.lucius,2020-05-01,613,,m,1860,,Muscle,WRB,,,15.5933333333333,-16.7366666666667,8.14,3.23192979809904,|,
BH-01755,E.lucius,2020-02-26,770,,f,3400,,Muscle,WRB,,,15.56,-17.9566666666667,9.90666666666667,3.2013579887871,|,
BH-01756,E.lucius,2020-05-28,812,,m,3460,,Muscle,WRB,,,15.55,-18.3866666666667,10.63,3.1755400657499,|,
BH-01758,E.lucius,2020-05-01,682,,m,2580,,Muscle,WRB,,,15.3266666666667,-17.24,8.52666666666667,3.22213251466766,|,
BH-01759,E.lucius,2020-05-28,741,,m,2500,,Muscle,WRB,,,15.2066666666667,-16.4466666666667,8.96,3.1642940430621,|,
BH-01760,E.lucius,2020-05-28,806,,f,4300,,Muscle,WRB,,,16.9,-17.0533333333333,8.29333333333333,3.22653011976009,|,
BH-01761,E.lucius,,740,,m,,,Muscle,NRB,,,14.02,-16.93,9.39666666666667,3.05999535369146,|,
BH-01763,E.lucius,,560,,f,,,Muscle,NRB,,,13.51,-17.005,8.125,3.33416274217833,|,
BH-01764,E.lucius,,680,,f,,,Muscle,NRB,,,14.2266666666667,-17.1966666666667,8.29,3.19572409097713,|,
BH-01779,E.lucius,2020-05-01,825,,f,4820,,Muscle,WRB,,,17.2066666666667,-17.8633333333333,9.28666666666667,3.27600839592518,|,
BH-01781,E.lucius,2020-05-01,672,,m,2080,,Muscle,WRB,,,16.1366666666667,-16.8866666666667,8.68666666666667,3.06275480173887,|,
BH-01783,E.lucius,2020-02-27,670,,m,2200,,Muscle,WRB,,,14.7966666666667,-16.7766666666667,8.94,3.06922207285129,|,
BH-01787,E.lucius,2019-12-05,730,,m,3600,,Muscle,WRB,,,16.2133333333333,-17.1966666666667,8.84333333333333,3.20818687329298,|,
BH-01789,E.lucius,2020-02-26,600,,m,1700,,Muscle,WRB,,,15.6833333333333,-17.75,8.54666666666667,3.32578960320016,|,
BH-01797,E.lucius,2020-05-01,584,,m,1860,,Muscle,WRB,,,15.9833333333333,-16.8,8.27,3.01470949209673,|,
